[2026-06-25 18:26:59] close: 61302.36, RSI: 51.27, SMOOTHING: 53.80
[2026-06-25 18:27:59] close: 61275.34, RSI: 47.88, SMOOTHING: 54.07
[2026-06-25 18:28:59] close: 61268.0, RSI: 46.97, SMOOTHING: 53.16
[2026-06-25 18:29:59] close: 61242.0, RSI: 43.81, SMOOTHING: 51.85
[2026-06-25 18:30:59] close: 61284.01, RSI: 49.71, SMOOTHING: 51.25
[2026-06-25 18:31:59] close: 61286.01, RSI: 49.98, SMOOTHING: 50.55
[2026-06-25 18:32:59] close: 61275.28, RSI: 48.48, SMOOTHING: 49.94
[2026-06-25 18:33:59] close: 61278.0, RSI: 48.90, SMOOTHING: 49.46
[2026-06-25 18:34:59] close: 61260.51, RSI: 46.29, SMOOTHING: 48.78
[2026-06-25 18:35:59] close: 61277.39, RSI: 49.11, SMOOTHING: 48.58
[2026-06-25 18:36:59] close: 61260.11, RSI: 46.42, SMOOTHING: 48.45
[2026-06-25 18:37:59] close: 61318.0, RSI: 55.25, SMOOTHING: 48.99
[2026-06-25 18:38:59] close: 61324.44, RSI: 56.12, SMOOTHING: 49.51
[2026-06-25 18:39:59] close: 61334.78, RSI: 57.54, SMOOTHING: 49.84
[2026-06-25 18:40:59] close: 61346.91, RSI: 59.21, SMOOTHING: 50.40
[2026-06-25 18:41:59] close: 61373.77, RSI: 62.70, SMOOTHING: 51.46
[2026-06-25 18:42:59] close: 61322.0, RSI: 53.23, SMOOTHING: 51.91
[2026-06-25 18:43:59] close: 61336.39, RSI: 55.26, SMOOTHING: 52.73
[2026-06-25 18:44:59] close: 61318.0, RSI: 52.15, SMOOTHING: 52.90
[2026-06-25 18:45:59] close: 61308.42, RSI: 50.56, SMOOTHING: 52.94
[2026-06-25 18:46:59] close: 61293.87, RSI: 48.15, SMOOTHING: 52.92
[2026-06-25 18:47:59] close: 61262.09, RSI: 43.30, SMOOTHING: 52.52
[2026-06-25 18:48:59] close: 61196.42, RSI: 35.38, SMOOTHING: 51.74
[2026-06-25 18:49:59] close: 61161.53, RSI: 32.02, SMOOTHING: 50.52
[2026-06-25 18:50:59] close: 61223.88, RSI: 42.51, SMOOTHING: 50.24
[2026-06-25 18:51:59] close: 61222.0, RSI: 42.30, SMOOTHING: 49.32
[2026-06-25 18:52:59]  Close: 61220.01    |  RSI: 42.78   |  RSI Smoothing: 47.15   |  ADX: 16.81   |  ADX Smoothing: 18.11 
[2026-06-25 18:53:59]  Close: 61161.23    |  RSI: 36.27   |  RSI Smoothing: 45.51   |  ADX: 17.35   |  ADX Smoothing: 18.13 
[2026-06-25 18:54:59]  Close: 61169.99    |  RSI: 37.79   |  RSI Smoothing: 43.73   |  ADX: 17.86   |  ADX Smoothing: 18.12 
[2026-06-25 18:55:59]  Close: 61246.50    |  RSI: 49.18   |  RSI Smoothing: 43.44   |  ADX: 16.84   |  ADX Smoothing: 18.01 
[2026-06-25 18:56:59]  Close: 61260.00    |  RSI: 50.89   |  RSI Smoothing: 43.13   |  ADX: 15.90   |  ADX Smoothing: 17.82 
[2026-06-25 18:57:59]  Close: 61262.09    |  RSI: 51.16   |  RSI Smoothing: 43.06   |  ADX: 15.42   |  ADX Smoothing: 17.56 
[2026-06-25 18:58:59]  Close: 61269.99    |  RSI: 52.25   |  RSI Smoothing: 43.18   |  ADX: 14.97   |  ADX Smoothing: 17.24 
[2026-06-25 18:59:59]  Close: 61282.01    |  RSI: 53.92   |  RSI Smoothing: 43.59   |  ADX: 14.87   |  ADX Smoothing: 16.94 
[2026-06-25 19:00:59]  Close: 61267.45    |  RSI: 51.56   |  RSI Smoothing: 44.18   |  ADX: 16.31   |  ADX Smoothing: 16.83 
